x,y,z,name,state
23.14,41.73,-0.34,SW-20_10-15F_n_087.jpg,1
27.05,41.23,-0.19,SW-20_10-15F_n_088.jpg,1
23.4,68.73,-0.92,SW-20_10-15F_o_001.jpg,1
27.32,68.33,-0.78,SW-20_10-15F_o_002.jpg,1
30.19,68.93,1.69,SW-20_10-15F_o_003.jpg,1
34.32,68.03,-0.4,SW-20_10-15F_o_004.jpg,1
37.49,68.03,-0.36,SW-20_10-15F_o_005.jpg,1
41.64,68.53,1.05,SW-20_10-15F_o_006.jpg,1
45.07,68.53,0.51,SW-20_10-15F_o_007.jpg,1
48.41,65.83,0.17,SW-20_10-15F_o_009.jpg,1
44.49,65.53,0.02,SW-20_10-15F_o_010.jpg,1
